head_id,tail_id,head,head_type,relation,relation_zh,tail,tail_type,evidence,source_pages,source_chunks,confidence
ProcessObject_侧分段,ProcessObject_底部分段,侧分段,ProcessObject,assembled_with,连接/装配,底部分段,ProcessObject,将侧分段与底部分段的外板进行定位焊,[170],"[""shiprag_p170_00197""]",0.9
Component_侧纵桁,Component_肋骨,侧纵桁,Component,assembled_with,连接/装配,肋骨,Component,"将其与侧纵桁连接,保证分段型线不受影响",[141],"[""shiprag_p141_00161""]",0.9
Component_前后横舱壁,Component_纵舱壁,前后横舱壁,Component,assembled_with,连接/装配,纵舱壁,Component,将其与纵舱壁定位焊,[140],"[""shiprag_p140_00160""]",0.9
Component_压筋围壁,ToolEquipment_胎架,压筋围壁,Component,assembled_with,连接/装配,胎架,ToolEquipment,压筋围壁则在胎架上装配,[102],"[""shiprag_p102_00118""]",0.9
Component_双层底框架部件,ToolEquipment_平台,双层底框架部件,Component,assembled_with,连接/装配,平台,ToolEquipment,双层底框架以纵桁为基面在平台上装配,[101],"[""shiprag_p101_00117""]",0.9
Component_垂直加强板,Component_水平加强板,垂直加强板,Component,assembled_with,连接/装配,水平加强板,Component,将其与平台及水平加强板定位焊,[141],"[""shiprag_p141_00162""]",0.9
Component_平面围壁,ProcessObject_平台,平面围壁,Component,assembled_with,连接/装配,平台,ProcessObject,平面围壁在平台上装配,[102],"[""shiprag_p102_00118""]",0.9
ProcessObject_底部分段,ProcessObject_船台,底部分段,ProcessObject,assembled_with,连接/装配,船台,ProcessObject,底部分段在船台合拢,[165],"[""shiprag_p165_00191""]",0.9
Component_强肋骨,Component_连接肘板,强肋骨,Component,assembled_with,连接/装配,连接肘板,Component,"再插入强肋骨定位,最后装连接肘板",[131],"[""shiprag_p131_00149""]",0.8
Component_横向隔板,Component_纵向隔板,横向隔板,Component,assembled_with,连接/装配,纵向隔板,Component,将纵横隔板拉紧,[136],"[""shiprag_p136_00155""]",0.8
ProcessObject_立体分段,Component_底部,立体分段,ProcessObject,assembled_with,连接/装配,底部,Component,由底部、舷侧和舱壁等子分段组成的封闭或半封闭分段,[113],"[""shiprag_p113_00130""]",0.9
ProcessObject_立体分段,Component_舷侧,立体分段,ProcessObject,assembled_with,连接/装配,舷侧,Component,由底部、舷侧和舱壁等子分段组成的封闭或半封闭分段,[113],"[""shiprag_p113_00130""]",0.9
Component_肋板,Component_K行板,肋板,Component,assembled_with,连接/装配,K行板,Component,将肋板放下，与柱及K行板定位焊,[137],"[""shiprag_p137_00157""]",0.9
Component_肋骨框架,ProcessObject_平台板,肋骨框架,Component,assembled_with,连接/装配,平台板,ProcessObject,将肋(骨)框架对号放入靠板之间，对准中心线和位置线，用角钢临时固定,[139],"[""shiprag_p139_00159""]",0.9
Component_肘板,ProcessObject_底部分段,肘板,Component,assembled_with,连接/装配,底部分段,ProcessObject,普通肋骨处的肘板或角接于肋骨翼板和内底板,[170],"[""shiprag_p170_00197""]",0.8
Component_舰柱,Process_电渣焊,舰柱,Component,assembled_with,连接/装配,电渣焊,Process,各段间采用电渣焊焊接,[96],"[""shiprag_p096_00112""]",0.9
Component_舰柱,Operation_电渣焊,舰柱,Component,assembled_with,连接/装配,电渣焊,Operation,"定位后予以固定,进行电渣焊。",[98],"[""shiprag_p098_00114""]",0.9
Component_舱壁,ProcessObject_底部分段,舱壁,Component,assembled_with,连接/装配,底部分段,ProcessObject,将横舱壁吊上底部分段插入靠板内,[166],"[""shiprag_p166_00193""]",0.9
Component_舵叶板,Component_扁钢,舵叶板,Component,assembled_with,连接/装配,扁钢,Component,两侧舵叶板在后端与扁钢尾端连接,[109],"[""shiprag_p109_00126""]",0.85
Component_舵杆孔围板,Component_零号舱壁,舵杆孔围板,Component,assembled_with,连接/装配,零号舱壁,Component,在零号舱壁上按图纸尺寸画出舵杆孔侧围壁的位置线,[140],"[""shiprag_p140_00160""]",0.85
ProcessObject_舷侧分段,ProcessObject_底部分段,舷侧分段,ProcessObject,assembled_with,连接/装配,底部分段,ProcessObject,舷侧分段吊上船台前，检查与之连接的底部分段外板边缘,"[168, 169]","[""shiprag_p168_00195"", ""shiprag_p169_00196""]",0.9
ProcessObject_舷侧分段,ProcessObject_甲板分段,舷侧分段,ProcessObject,assembled_with,连接/装配,甲板分段,ProcessObject,甲板分段合拢时横梁与肋骨对准,[169],"[""shiprag_p169_00196""]",0.8
Component_舷侧纵桁,Component_强肋骨,舷侧纵桁,Component,assembled_with,连接/装配,强肋骨,Component,"装间断的侧纵桁,并将强肋骨插入处的边缘面线切制正确,再插入强肋骨定位,最后装连接肘板",[131],"[""shiprag_p131_00149""]",0.9
Component_覆板,Component_围壁板,覆板,Component,assembled_with,连接/装配,围壁板,Component,在需要更换的钢板外面加焊覆板,[190],"[""shiprag_p190_00228""]",0.9
Component_轴包板,Component_外板,轴包板,Component,assembled_with,连接/装配,外板,Component,将轴包板拉住，使之与外板贴紧。,[138],"[""shiprag_p138_00158""]",0.9
Component_轴包板,Component_肋板,轴包板,Component,assembled_with,连接/装配,肋板,Component,检查轴包板与肋板的间隙。,[138],"[""shiprag_p138_00158""]",0.9
