id,name,type,aliases,definition,source_pages,source_chunks,confidence
Chapter_II段,II段,Chapter,[],,[105],"[""shiprag_p105_00121""]",0.875
Chapter_中级船体装配工工艺学,中级船体装配工工艺学,Chapter,[],,[],[],1.0
Chapter_分段结构,分段结构,Chapter,[],,[148],"[""shiprag_p148_00170""]",0.85
Chapter_分段装配,分段装配,Chapter,[],,[127],"[""shiprag_p127_00145""]",0.65
Chapter_半宽水线图,半宽水线图,Chapter,[],,[36],"[""shiprag_p036_00045""]",0.9
Chapter_工作曲面,工作曲面,Chapter,[],,[124],"[""shiprag_p124_00142""]",0.9
Chapter_横剖线图,横剖线图,Chapter,[],,[36],"[""shiprag_p036_00045""]",0.85
Chapter_横缝,横缝,Chapter,[],,[55],"[""shiprag_p055_00068""]",0.875
Chapter_甲板分段,甲板分段,Chapter,[],,[124],"[""shiprag_p124_00142""]",0.85
Chapter_第七章船体修理,第七章船体修理,Chapter,[],,"[179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192]","[""shiprag_p179_00210"", ""shiprag_p180_00211"", ""shiprag_p180_00212"", ""shiprag_p181_00213"", ""shiprag_p181_00214"", ""shiprag_p182_00215"", ""shiprag_p183_00216"", ""shiprag_p183_00217"", ""shiprag_p184_00218"", ""shiprag_p185_00219"", ""shiprag_p185_00220"", ""shiprag_p186_00221"", ""shiprag_p186_00222"", ""shiprag_p187_00223"", ""shiprag_p187_00224"", ""shiprag_p188_00225"", ""shiprag_p189_00226"", ""shiprag_p189_00227"", ""shiprag_p190_00228"", ""shiprag_p191_00229"", ""shiprag_p192_00230""]",0.95
Chapter_第三章,第三章,Chapter,[],,"[64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95]","[""shiprag_p064_00078"", ""shiprag_p065_00079"", ""shiprag_p066_00080"", ""shiprag_p066_00081"", ""shiprag_p067_00082"", ""shiprag_p068_00083"", ""shiprag_p069_00084"", ""shiprag_p070_00085"", ""shiprag_p071_00086"", ""shiprag_p072_00087"", ""shiprag_p073_00088"", ""shiprag_p073_00089"", ""shiprag_p074_00090"", ""shiprag_p075_00091"", ""shiprag_p076_00092"", ""shiprag_p077_00093"", ""shiprag_p078_00094"", ""shiprag_p079_00095"", ""shiprag_p080_00096"", ""shiprag_p081_00097"", ""shiprag_p082_00098"", ""shiprag_p083_00099"", ""shiprag_p084_00100"", ""shiprag_p085_00101"", ""shiprag_p086_00102"", ""shiprag_p087_00103"", ""shiprag_p088_00104"", ""shiprag_p089_00105"", ""shiprag_p090_00106"", ""shiprag_p091_00107"", ""shiprag_p092_00108"", ""shiprag_p093_00109"", ""shiprag_p094_00110"", ""shiprag_p095_00111""]",0.95
Chapter_第二章舟,第二章舟,Chapter,[],,"[33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]","[""shiprag_p033_00040"", ""shiprag_p033_00041"", ""shiprag_p034_00042"", ""shiprag_p035_00043"", ""shiprag_p036_00044"", ""shiprag_p036_00045"", ""shiprag_p037_00046"", ""shiprag_p038_00047"", ""shiprag_p038_00048"", ""shiprag_p039_00049"", ""shiprag_p040_00050"", ""shiprag_p041_00051"", ""shiprag_p042_00052"", ""shiprag_p043_00053"", ""shiprag_p044_00054"", ""shiprag_p045_00055"", ""shiprag_p046_00056"", ""shiprag_p047_00057"", ""shiprag_p048_00058"", ""shiprag_p048_00059"", ""shiprag_p049_00060"", ""shiprag_p050_00061"", ""shiprag_p051_00062"", ""shiprag_p051_00063"", ""shiprag_p052_00064"", ""shiprag_p053_00065"", ""shiprag_p054_00066"", ""shiprag_p054_00067"", ""shiprag_p055_00068"", ""shiprag_p056_00069"", ""shiprag_p057_00070"", ""shiprag_p058_00071"", ""shiprag_p059_00072"", ""shiprag_p060_00073"", ""shiprag_p060_00074"", ""shiprag_p061_00075"", ""shiprag_p062_00076"", ""shiprag_p063_00077""]",0.95
Chapter_第五章,第五章,Chapter,[],,"[112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149]","[""shiprag_p112_00129"", ""shiprag_p113_00130"", ""shiprag_p114_00131"", ""shiprag_p115_00132"", ""shiprag_p116_00133"", ""shiprag_p116_00134"", ""shiprag_p117_00135"", ""shiprag_p118_00136"", ""shiprag_p119_00137"", ""shiprag_p120_00138"", ""shiprag_p121_00139"", ""shiprag_p122_00140"", ""shiprag_p123_00141"", ""shiprag_p124_00142"", ""shiprag_p125_00143"", ""shiprag_p126_00144"", ""shiprag_p127_00145"", ""shiprag_p128_00146"", ""shiprag_p129_00147"", ""shiprag_p130_00148"", ""shiprag_p131_00149"", ""shiprag_p132_00150"", ""shiprag_p133_00151"", ""shiprag_p133_00152"", ""shiprag_p134_00153"", ""shiprag_p135_00154"", ""shiprag_p136_00155"", ""shiprag_p136_00156"", ""shiprag_p137_00157"", ""shiprag_p138_00158"", ""shiprag_p139_00159"", ""shiprag_p140_00160"", ""shiprag_p141_00161"", ""shiprag_p141_00162"", ""shiprag_p142_00163"", ""shiprag_p143_00164"", ""shiprag_p144_00165"", ""shiprag_p145_00166"", ""shiprag_p146_00167"", ""shiprag_p146_00168"", ""shiprag_p147_00169"", ""shiprag_p148_00170"", ""shiprag_p149_00171""]",0.95
