head_id,tail_id,head,head_type,relation,relation_zh,tail,tail_type,evidence,source_pages,source_chunks,confidence
ProcessObject_202_402半立体分段,Component_101b,202~402半立体分段,ProcessObject,assembled_with,连接/装配,101b,Component,当202~402半立体分段合拢后...吊装101b...,[161],"[""shiprag_p161_00186""]",0.8
Component_IV平台,Component_挡水板,IV平台,Component,assembled_with,连接/装配,挡水板,Component,装垂直加强板上方的挡水板。把挡水板、垂直加强板与V平台连接的一边修割正确,[141],"[""shiprag_p141_00162""]",0.75
Component_K行板,ProcessObject_胎架,K行板,Component,assembled_with,连接/装配,胎架,ProcessObject,"将尾段K行板吊上胎架,对准中心线和端缝线,与胎板定位焊",[136],"[""shiprag_p136_00156""]",0.9
Component_LB2A1,Component_横向隔板,LB2A1,Component,assembled_with,连接/装配,横向隔板,Component,将其与横向隔板拉紧固定后焊接,[136],"[""shiprag_p136_00155""]",0.88
ProcessObject_TE二甲板16918,ProcessObject_FR175,TE二甲板16918,ProcessObject,assembled_with,连接/装配,FR175,ProcessObject,"TE二甲板16918,FR175*sdz11图1-12某多用途集装箱船的分段划分及分段代码",[17],"[""shiprag_p017_00018""]",0.9
Component_上层建筑,Component_下层甲板,上层建筑,Component,assembled_with,连接/装配,下层甲板,Component,"当下层甲板伸出,外围壁对接改为与甲板角接时",[177],"[""shiprag_p177_00208""]",0.85
Component_下倾式内底边板,ProcessObject_内底板,下倾式内底边板,Component,assembled_with,连接/装配,内底板,ProcessObject,下倾的内底边板向上旋转到和内底板在同一平面面出展开图,[90],"[""shiprag_p090_00106""]",0.8
ProcessObject_下甲板,Component_甲板边板,下甲板,ProcessObject,assembled_with,连接/装配,甲板边板,Component,中段下甲板叠放在侧分段的甲板边板上,[171],"[""shiprag_p171_00199""]",0.8
Component_中间肋骨线,Component_样板,中间肋骨线,Component,assembled_with,连接/装配,样板,Component,需在每根助骨上制作上、中、下三块样板,[130],"[""shiprag_p130_00148""]",0.85
ProcessObject_主甲板分段,ProcessObject_横舱整分段,主甲板分段,ProcessObject,assembled_with,连接/装配,横舱整分段,ProcessObject,主甲板平面so11210sdotdo11(sd60s)FRI0S$601S602,[160],"[""shiprag_p160_00185""]",0.6
